marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_date
US,15011672,R3PCWBAKX72EB2,B00J074W94,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,4,1307.0,1392.0,N,N,2015-02-25
US,52493189,R116BW7JFZTKLP,B005KG7EDU,784610612,"Great Lakes Gelatin, Certified Paleo Friendly, Keto Certified, Collagen Hydrolysate, Peptides, Pasture-Raised Grass-Fed, Non GMO, 16 oz, FFP",Grocery,5,1310.0,1390.0,N,Y,2013-02-02
US,49975911,R1KW09L0XVV1P4,B00012182G,554396858,Fresh Whole Rabbit,Grocery,5,1233.0,1388.0,N,N,2007-02-09
US,47537853,R3MIJPLHMSX8ED,B00GN92KQ4,670665392,"Quirky Egg Minder Wink App Enabled Smart Egg Tray, PEGGM-WH01",Grocery,5,1172.0,1386.0,N,N,2014-04-04
US,15233333,R1LNAFFLH6RURQ,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,1314.0,1380.0,N,N,2014-09-15
US,23123684,R20XIT5EPN9HIJ,B00BTMDALO,290974606,Miracle Noodle Gluten-free Shirataki Pasta,Grocery,5,1330.0,1370.0,N,Y,2014-01-24
US,52769462,R30UHO7ZOTSYQI,B005F3IAPE,865843265,"Ekobrew Cup, Refillable Cup for Keurig 1.0, 2-Count",Grocery,4,1276.0,1332.0,N,Y,2011-11-29
US,15737584,R3917U92TN07GT,B00196497O,384706256,Manitoba Harvest Hemp Oil Soft Gels,Grocery,5,1283.0,1321.0,N,Y,2012-05-06
US,32912350,R21PM4Z6IE9DZW,B005K4Q1VI,471389263,"Grove Square Hot Cocoa, Single Serve Cup for Keurig K-Cup Brewers",Grocery,3,1157.0,1314.0,N,Y,2012-01-06
US,12471436,R2SRISXFKD22F8,B00315HJ8C,123527818,Giant Gummy Bear approx 5 Pounds - Cherry Flavored Giant Gummy Bear,Grocery,5,1184.0,1309.0,N,Y,2012-12-13
US,25054831,R12FT7VZFDPJ34,B00DDT116M,64902128,Matcha Green Tea Powder - Powerful Antioxidant Japanese Organic,Grocery,1,1025.0,1305.0,N,N,2014-02-11
US,12781484,R2HWWQN5OCO1GQ,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,1198.0,1300.0,N,N,2006-08-09
US,45443537,R1SX0L0H35BLX5,B00GN92KQ4,670665392,"Quirky Egg Minder Wink App Enabled Smart Egg Tray, PEGGM-WH01",Grocery,5,1122.0,1298.0,N,N,2014-04-04
US,21396359,R3P35NL8AIA3GS,B006J1FBLM,348455192,"Haribo SUGAR FREE Classic Gummi Bears, 1 Lb",Grocery,1,1082.0,1282.0,N,N,2014-05-24
US,12770343,R2EGM8KP4MB6K1,B000LL0R8I,572710338,Vita Coco Coconut Water,Grocery,3,1123.0,1217.0,N,Y,2009-10-11
US,41592890,R12NKJEJBY1RI1,B00012182G,554396858,Fresh Whole Rabbit,Grocery,2,1136.0,1195.0,N,N,2011-12-06
US,11199007,R3Q6Q0SF57LXOE,B000GAO91K,942203944,Nutiva Organic Hempseed Oil,Grocery,5,1076.0,1156.0,N,Y,2013-05-09
US,11907906,R1UH6NCMEYZNCH,B000ENWSBW,523465583,Larabar Gluten Free Bar,Grocery,5,1046.0,1088.0,N,Y,2012-02-03
US,15503754,R3D26JE17OO7F6,B0015KAYN2,323622730,Nature's Way Coconut Oil-extra Virgin,Grocery,5,916.0,1046.0,N,N,2010-01-22
US,45842914,RRJ6FIW8WY145,B0051SU0OW,980285722,"Ekobrew Coffee Reusable Filter, Small, Violet",Grocery,5,984.0,1045.0,N,Y,2011-08-09
US,32056273,R1U2JAVG8L0YN,B006J1FBLM,348455192,"Haribo SUGAR FREE Classic Gummi Bears, 1 Lb",Grocery,1,899.0,1038.0,N,Y,2013-09-16
US,22340649,RI6C9MAACWSR5,B006CQ1ZHI,178240057,"Death Wish Ground Coffee, Fair Trade and USDA Certified Organic",Grocery,3,895.0,1028.0,N,N,2013-10-26
US,33430260,R1X2ZYKCKIVINB,B001OHX1ZY,783312138,Nutiva Hi Fiber Hemp Protein Powder - 16 OZ,Grocery,5,932.0,1021.0,N,Y,2011-04-12
US,25319356,R3VXASBI4P60W6,B006CNTR6W,109904122,Death Wish Whole Bean Coffee - Fair Trade and USDA Certified Organic,Grocery,4,965.0,1015.0,N,Y,2013-04-11
US,21065413,R2BL3GONIPRWAL,B007B9EMHK,854138558,Health Warrior Chia Bars,Grocery,3,992.0,1014.0,N,N,2015-03-25
US,31927339,R2W9XXM6B3ZYQG,B00ESI96SW,282868546,Wonderbag Non-Electric Portable Slow Cooker with Recipe Cookbook,Grocery,1,761.0,995.0,N,N,2013-11-08
US,52909755,R2DRXPRXIC1LWC,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,910.0,993.0,N,N,2006-08-07
US,44887928,RLSYJ9PQXDTJG,B001ELLBJS,356715615,"Great Lakes Unflavored Gelatin, Kosher, 16 Ounce Can",Grocery,5,966.0,990.0,N,Y,2011-12-15
US,51747629,RLB3INH8S1ILL,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,1,902.0,985.0,N,N,2009-06-24
US,20620417,RD5P7TKJZNJJG,B008QWOUMS,748551532,GOLD Leaf 20 Sheets Edible 24k 999/1000 Gilding,Grocery,1,973.0,980.0,N,Y,2014-08-27
US,47508093,R2CCTF8T2E6K3N,B003IHO8LE,857782607,"Neuro Nutritional Supplement Drink, 14.5 Ounce Bottles (Pack of 12)",Grocery,5,910.0,978.0,N,N,2012-06-18
US,8132683,R2TKQB26RE4D1M,B00J074W94,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,5,877.0,973.0,N,N,2014-08-02
US,13650750,R1GH2VA87ATHJC,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,1,24.0,971.0,N,N,2014-09-15
US,12656699,R2ZZS9T2Q6SIWQ,B004V6A9SC,220665128,"Newman's Own Con Queso Salsa, 16-Ounce (Pack of 6)",Grocery,1,883.0,968.0,N,N,2013-01-29
US,45197365,R3TVI5K86CR922,B001EO5Q64,653570135,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",Grocery,5,881.0,960.0,N,Y,2009-10-02
US,31179857,R1FIRLNBVIYD2G,B005KG7EDU,784610612,"Great Lakes Gelatin, Certified Paleo Friendly, Keto Certified, Collagen Hydrolysate, Peptides, Pasture-Raised Grass-Fed, Non GMO, 16 oz, FFP",Grocery,5,874.0,955.0,N,Y,2013-07-07
US,32429392,R2A291A5C9ITSP,B00FJYTGBG,166681885,Death Wish Single Serve Capsules for Keurig K-Cup Style Brewing Systems,Grocery,5,910.0,954.0,N,Y,2014-10-07
US,15305401,R1OHODONOW646G,B00K6JEON4,693457605,"Vital Proteins Collagen Protein, Pasture-Raised, Grass-Fed, Non-GMO, Beef Gelatin",Grocery,2,897.0,936.0,N,Y,2015-07-11
US,17030881,R4EF7VL8PGS7,B00112ILZM,82023917,Amazing Grass Green Superfood,Grocery,5,665.0,927.0,N,Y,2009-06-03
US,52428266,R265J2EQA1AKAN,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,848.0,916.0,N,N,2007-05-11
US,36203768,R3AC7G6NIEFBTU,B005K4Q1YA,795563511,"Grove Square Cappuccino, Single Serve Cup for Keurig K-Cup Brewers",Grocery,1,679.0,911.0,N,N,2012-01-24
US,48907742,RDHV4Q3W742N0,B00GN92KQ4,670665392,"Quirky Egg Minder Wink App Enabled Smart Egg Tray, PEGGM-WH01",Grocery,2,734.0,909.0,N,N,2014-04-04
US,23054580,RLIGW3QZI3419,B002NVZDR4,625894654,"Fever-Tree Drinks, Glass Bottles",Grocery,1,800.0,902.0,N,Y,2013-10-30
US,33784223,R38HDK0JZY6NUG,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,825.0,901.0,N,N,2006-11-30
US,14073878,R31CF429NB3UOI,B000FFLHU2,761498827,"Navitas Naturals Organic Maca Powder, 1 Pound Pouches",Grocery,1,849.0,897.0,N,N,2010-05-07
US,48194030,R2370RN5JW441U,B005SWKZG4,362711832,Rock Candy Crystals,Grocery,5,834.0,868.0,N,N,2012-01-30
US,20561005,R2FFYZXE6F5R18,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,1,67.0,852.0,N,N,2014-09-15
US,21231146,R3906IS00XGOKA,B008P0BG7I,187460012,Carrington Farms Organic Extra Virgin Coconut Oil,Grocery,5,810.0,828.0,N,Y,2013-11-28
US,4713440,R20EPN9X4Z23S6,B00DS842HS,552852355,"Viva Naturals Organic Extra Virgin Coconut Oil, 16 Ounce",Grocery,5,741.0,816.0,N,Y,2015-02-16
US,8288661,R1LG6A7D2SLC3X,B000GAO91K,942203944,Nutiva Organic Hempseed Oil,Grocery,5,757.0,811.0,N,Y,2014-05-15
US,23198713,R1GUZ4PD5772R2,B005KG7EDU,784610612,"Great Lakes Gelatin, Certified Paleo Friendly, Keto Certified, Collagen Hydrolysate, Peptides, Pasture-Raised Grass-Fed, Non GMO, 16 oz, FFP",Grocery,5,736.0,804.0,N,N,2013-08-01
US,37147239,R286S7RUXZTWI4,B002GJ9JWS,545915097,Powdered Peanut Butter - 85% Less Fat and Calories,Grocery,3,730.0,801.0,N,Y,2010-09-10
US,38834672,RMGQNH1U19WNU,B00AQFGL3O,888139740,Nutiva Organic Chia Seeds,Grocery,4,761.0,798.0,N,Y,2013-07-27
US,13584697,RCOO6OGD683FU,B00315HJ8C,123527818,Giant Gummy Bear approx 5 Pounds - Cherry Flavored Giant Gummy Bear,Grocery,3,707.0,780.0,N,N,2014-04-22
US,51665121,RQ1YTZGADVFQ5,B00112ILZM,82023917,Amazing Grass Green Superfood,Grocery,4,560.0,780.0,N,Y,2010-04-27
US,52960129,R1HZ8R0003I929,B000CLUOAS,572227683,Organic Coconut Oil 16 Ounces,Grocery,5,599.0,777.0,N,N,2010-10-05
US,11785239,R31FCLFVST93N8,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,735.0,772.0,N,N,2014-09-15
US,14678958,R2YACZQ64YC3EU,B00ESI96SW,282868546,Wonderbag Non-Electric Portable Slow Cooker with Recipe Cookbook,Grocery,3,727.0,769.0,N,N,2014-01-11
US,11660925,R1W1DW1Q0IXILC,B00EKLPLU4,398216137,Healthworks Cacao Powder Parent,Grocery,5,732.0,765.0,N,Y,2013-10-23
US,30299782,R3ASFBZHREN0W0,B00GN92KQ4,670665392,"Quirky Egg Minder Wink App Enabled Smart Egg Tray, PEGGM-WH01",Grocery,5,609.0,752.0,N,N,2013-12-04
US,16704699,R3NB64LSGL6JZO,B0017WFZKA,30570237,Now Foods Psyllium Husk,Grocery,5,670.0,750.0,N,Y,2010-09-13
US,14877102,R2ICUV92HZ8KDG,B000GAO91K,942203944,Nutiva Organic Hempseed Oil,Grocery,5,665.0,748.0,N,Y,2013-05-08
US,42514385,R1PAD3A2KXZYRP,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,2,677.0,739.0,N,N,2006-08-09
US,11814437,R10GSZM8GOP3YS,B0019RLJV2,62885772,Kraft Macaroni & Cheese Dinner,Grocery,5,632.0,733.0,N,N,2010-03-11
US,30155143,R22Q8PSXWU1U2S,B00J074W94,2499702,"Orgain Organic Plant Based Protein Powder, Packaging May Vary",Grocery,4,630.0,726.0,N,Y,2015-01-22
US,9405396,R2FHMRRXVOJFR,B00112ILZM,82023917,Amazing Grass Green Superfood,Grocery,5,591.0,715.0,N,Y,2015-08-20
US,52327235,R1HX0DFIT0VGSL,B000EVMNMI,998969845,Haribo Gummi Candy,Grocery,4,602.0,713.0,N,Y,2008-11-19
US,11599121,R9ZL5Z18NFZAV,B0083T6HC0,895783229,"Everything Variety Unique 35-Count Variety Pack, Single-Cup Portion Pack Sampler for Keurig  Brewers",Grocery,2,684.0,707.0,N,Y,2012-06-20
US,51182095,R2XOEA0SGPWOQP,B000ENUC3S,523465583,Larabar Gluten Free Bar,Grocery,5,667.0,699.0,N,N,2007-10-21
US,20679258,R3IBX94BGO7ZGJ,B004V6A9SC,220665128,"Newman's Own Con Queso Salsa, 16-Ounce (Pack of 6)",Grocery,1,607.0,698.0,N,N,2014-04-27
US,51715263,R11GB5O8IPER1R,B002C0E5VG,273754221,Breadtopia Sourdough Starter (Live),Grocery,5,689.0,698.0,N,Y,2011-01-24
US,2449397,R572J59PM1JC4,B00AAVK4KA,479298562,Manuka Doctor 15 Plus Honey with Aloe Vera,Grocery,1,669.0,698.0,N,N,2014-08-11
US,10743782,R2NJC7W9YY46HV,B000OBIW9Q,360602468,Come With Me Kitty Harness and Bungee Leash,Grocery,2,641.0,689.0,N,N,2008-06-16
US,20492792,R1VACDE6LEL1DS,B00PFDH0IC,394458123,"Jade Leaf - Organic Japanese Matcha Green Tea Powder, Classic Culinary Grade (For Blending & Baking)",Grocery,5,666.0,685.0,N,Y,2015-07-03
US,34444609,R1P5SIWZNZ5G4S,B000Z93FQC,595488792,Y.S. Eco Bee Farms Raw Honey - 22 oz,Grocery,5,643.0,685.0,N,Y,2009-11-16
US,48098802,R3D1B2ZPDW1IQ6,B007PR93EU,483472627,Salt Himalayan Pink Gourmet FDA No Chemicals Non-gmo Organic Halall Kosher Fine Grind (.5mm),Grocery,1,630.0,684.0,N,N,2013-11-09
US,45416830,R1TWWJFE7HZD38,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,1.0,627.0,682.0,N,N,2011-02-01
US,50400284,RCOF3E9Z1DBLP,B005HG9ET0,192623861,Essentia 9.5 pH Drinking Water,Grocery,1,635.0,676.0,N,Y,2014-05-05
US,26745056,R3SF8ELO2HAIAF,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,629.0,676.0,N,N,2014-09-15
US,7590930,R16VA0SM2979M6,B000EVOSE4,990977895,"Haribo Gummi Candy Gold-Bears,",Grocery,1,575.0,671.0,N,N,2015-08-05
US,24281965,R3OBO6B45OZSF3,B00DE4GWWY,647207785,"Albanese Candy, Sugar Free Assorted Fruit Gummi Bears, 5-pound Bag",Grocery,2,580.0,664.0,N,Y,2014-08-22
US,10225097,R3FM6IXOWC2RR,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,5,611.0,663.0,N,N,2006-08-16
US,46396887,R3TR0JJL3DY952,B003QDRJXY,653570135,"Nutiva Organic Virgin Coconut Oil, 15 Ounce",Grocery,4,624.0,660.0,N,N,2011-02-25
US,29420692,RM0VPF1MIDRB0,B003D4MYTU,565671748,"Stash Tea Chai Spice Black Tea, 100 Count Box of Tea Bags in Foil",Grocery,1,606.0,660.0,N,Y,2015-06-02
US,10803522,R2H21I7BJU5OHC,B007UWNBYS,395549501,"Trader Joe's Organic Virgin Coconut Oil, 16 fl oz",Grocery,5,630.0,654.0,N,N,2012-07-13
US,14630320,R3J53KF8I506NN,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,600.0,652.0,N,Y,2014-09-15
US,50924498,R3HMF6ODAC2R4,B008I1XLJU,537056186,"Brooklyn Beans Single-cup Coffee for Keurig K-Cup Brewers, 40-Count",Grocery,5,608.0,652.0,N,N,2012-08-13
US,24783594,R36RP9I9H3BNDW,B0029XDZIK,359056060,"Keurig, The Original Donut Shop, K-Cup packs",Grocery,4,622.0,646.0,N,Y,2009-09-14
US,16697017,ROJ5KSC8GL79K,B001E5E0Y2,219289946,Navitas Naturals Organic Cacao Nibs,Grocery,5,571.0,646.0,N,N,2009-10-02
US,18247509,R3PC8VVLUHVM60,B005YVU6FY,239837551,Carbquik Baking Biscuit Mix,Grocery,5,633.0,645.0,N,Y,2014-03-02
US,52425995,R26XWEWFJCNIQV,B00113ZZ5U,152047765,"Let's Do Organic Creamed Coconut, 7-Ounce Boxes",Grocery,5,640.0,645.0,N,Y,2012-01-12
US,50263278,R2ZVLL6A0G255,B009AH7OU8,888139740,Nutiva Organic Chia Seeds,Grocery,4,594.0,636.0,N,Y,2013-03-08
US,30298879,RDS6P6EPZ0RVJ,B00012182G,554396858,Fresh Whole Rabbit,Grocery,1,590.0,635.0,N,N,2013-05-10
US,41035394,R1J9VL6427DT99,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,1,580.0,633.0,N,N,2008-12-08
US,51786514,R1QBUWR3GTQURE,B000SDKDM4,880707599,"Lavazza Whole Bean Coffee, 2.2 Pound Bag",Grocery,5,591.0,631.0,N,Y,2010-12-15
US,50259944,R3T8F9G7QZYAM4,B00012182G,554396858,Fresh Whole Rabbit,Grocery,5,594.0,627.0,N,N,2013-01-20
US,42949573,R1XO37JIG4KVUF,B004HT6TS2,783609635,"Maxi/Tuna Fish Crackers, 8.7 Ounce",Grocery,1,564.0,626.0,N,Y,2011-06-29
US,23975456,R1XBTIDBIEVFFO,B002EB590Y,297286886,Flora Flor-Essence,Grocery,5,604.0,621.0,N,Y,2010-06-07
US,44739262,RT7Y2O2PNLNWY,B00196497O,384706256,Manitoba Harvest Hemp Oil Soft Gels,Grocery,5,578.0,620.0,N,Y,2012-11-01
US,12770343,R1ZWALT2CE2KRV,B000CN7BMA,317556764,"ZICO Natural Coconut Water,11.2 fl. oz. (Pack of 12)",Grocery,5,592.0,619.0,N,Y,2009-10-11
US,19472531,R1V6NRY25SETA5,B008I1XPKA,537056186,"Brooklyn Beans Single-cup Coffee for Keurig K-Cup Brewers, 40-Count",Grocery,5,592.0,608.0,N,Y,2012-11-05
US,41876770,R75EYWJT9X25G,B000LL0R8I,572710338,Vita Coco Coconut Water,Grocery,1,532.0,600.0,N,Y,2010-11-19
US,26080780,R24S2NCUP09BDV,B001ELLBJS,356715615,"Great Lakes Unflavored Gelatin, Kosher, 16 Ounce Can",Grocery,5,558.0,598.0,N,Y,2011-10-13
US,14481321,R2FCN0SWAOJ1PN,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,557.0,598.0,N,N,2014-09-15
US,26304478,RRYQO1VP142HT,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,5,568.0,595.0,N,N,2014-09-16
US,11965377,R2P5JY0QEYDPNN,B00BG0ZJ0Y,338444197,Matcha DNA Certified Organic Matcha Green Tea,Grocery,4,556.0,594.0,N,Y,2013-11-21
US,35682583,R3V9YCDVX7OBET,B00CPZPYLS,187460012,Carrington Farms Organic Extra Virgin Coconut Oil,Grocery,5,566.0,591.0,N,Y,2014-12-15
US,17238159,R1B3Z25LUTF6X3,B001O0BL9E,252812160,Manuka Health - MGO 400+ Manuka Honey,Grocery,5,526.0,588.0,N,N,2012-02-26
US,17954239,R1614EDIFQXOP8,B001LXYA5Q,251873201,"mberry Miracle Fruit Tablets, 10-Count",Grocery,5,533.0,586.0,N,Y,2012-08-17
US,32205096,R16GDNFTIM8FYQ,B002RBOCZE,108149320,"Lindt Excellence Dark Chocolate, 3.5-Ounce Packages (Pack of 12)",Grocery,4,569.0,585.0,N,N,2011-10-15
US,52355662,R3CH44RBP6WMF0,B001ELL9GI,219289946,Navitas Naturals Organic Cacao Nibs,Grocery,5,571.0,584.0,N,Y,2009-05-02
US,18792402,R1AS5RY5XBQA7B,B00032G1S0,753469671,"Tuscan Dairy Whole Vitamin D Milk, Gallon, 128 oz",Grocery,1,532.0,583.0,N,N,2006-11-30
US,25926789,RNLGE1KOI3N22,B001LXYA5Q,251873201,"mberry Miracle Fruit Tablets, 10-Count",Grocery,5,543.0,576.0,N,N,2015-01-14
US,46828203,R38ONHBS0AHEJA,B00M2OGS08,715217277,Surge Citrus Flavored Soda 16fl oz. 12 cans,Grocery,1,10.0,575.0,N,N,2014-09-15
US,38391858,R2G1ZUJ5B5QWOO,B0015P54R8,257105368,Healthworks Maca Powder Parent,Grocery,5,531.0,574.0,N,N,2012-12-22
